sample_code;sampling_site_cd;Number Of Floral Units
11;BE_MVS01_PT01_2023_5_2;373
12;BE_MVS01_PT02_2023_5_2;57
13;BE_MVS01_PT03_2023_5_2;5
14;BE_MVS01_PT04_2023_5_2;14
15;BE_MVS01_PT05_2023_5_2;27
16;BE_MVS01_PT06_2023_5_2;103
17;BE_MVS01_PT07_2023_5_2;25
18;BE_MVS01_PT08_2023_5_2;51
19;BE_MVS01_PT09_2023_5_2;0
20;BE_MVS01_PT10_2023_5_2;400
31;BE_MVS03_PT01_2023_5_4;0
32;BE_MVS03_PT02_2023_5_4;55
33;BE_MVS03_PT03_2023_5_4;212
34;BE_MVS03_PT04_2023_5_4;121
35;BE_MVS03_PT05_2023_5_4;4
36;BE_MVS03_PT06_2023_5_4;0
37;BE_MVS03_PT07_2023_5_4;6
38;BE_MVS03_PT08_2023_5_4;123
39;BE_MVS03_PT09_2023_5_4;3
40;BE_MVS03_PT10_2023_5_4;219
61;BE_MVS02_PT01_2023_5_26;1845
62;BE_MVS02_PT02_2023_5_26;1792
63;BE_MVS02_PT03_2023_5_26;1372
64;BE_MVS02_PT04_2023_5_26;145
65;BE_MVS02_PT05_2023_5_26;472
66;BE_MVS02_PT06_2023_5_26;883
67;BE_MVS02_PT07_2023_5_26;684
68;BE_MVS02_PT08_2023_5_26;148
69;BE_MVS02_PT09_2023_5_26;344
70;BE_MVS02_PT10_2023_5_26;213
111;BE_MVS03_PT01_2023_6_2;56
112;BE_MVS03_PT02_2023_6_2;495
113;BE_MVS03_PT03_2023_6_2;643
114;BE_MVS03_PT04_2023_6_2;275
115;BE_MVS03_PT05_2023_6_2;25
116;BE_MVS03_PT06_2023_6_2;0
117;BE_MVS03_PT07_2023_6_2;106
118;BE_MVS03_PT08_2023_6_2;415
119;BE_MVS03_PT09_2023_6_2;132
120;BE_MVS03_PT10_2023_6_2;54
192;BE_MVS01_PT01_2023_6_9;0
193;BE_MVS01_PT02_2023_6_9;0
194;BE_MVS01_PT03_2023_6_9;0
195;BE_MVS01_PT04_2023_6_9;57
196;BE_MVS01_PT05_2023_6_9;238
197;BE_MVS01_PT06_2023_6_9;2
198;BE_MVS01_PT07_2023_6_9;54
199;BE_MVS01_PT08_2023_6_9;3
200;BE_MVS01_PT09_2023_6_9;0
201;BE_MVS01_PT10_2023_6_9;102
245;BE_MVS02_PT01_2023_6_16;732
246;BE_MVS02_PT02_2023_6_16;418
247;BE_MVS02_PT03_2023_6_16;119
248;BE_MVS02_PT04_2023_6_16;181
249;BE_MVS02_PT05_2023_6_16;36
250;BE_MVS02_PT06_2023_6_16;126
251;BE_MVS02_PT07_2023_6_16;13
252;BE_MVS02_PT08_2023_6_16;31
253;BE_MVS02_PT09_2023_6_16;193
254;BE_MVS02_PT10_2023_6_16;26
415;BE_MVS01_PT01_2023_7_4;8
416;BE_MVS01_PT02_2023_7_4;0
417;BE_MVS01_PT03_2023_7_4;12
418;BE_MVS01_PT04_2023_7_4;64
419;BE_MVS01_PT05_2023_7_4;273
420;BE_MVS01_PT06_2023_7_4;0
421;BE_MVS01_PT07_2023_7_4;121
