sample_code;sampling_site_cd;Number Of Floral Units
422;BE_MVS01_PT08_2023_7_4;22
423;BE_MVS01_PT09_2023_7_4;295
424;BE_MVS01_PT10_2023_7_4;110
468;BE_MVS02_PT01_2023_7_13;1
469;BE_MVS02_PT02_2023_7_13;0
470;BE_MVS02_PT03_2023_7_13;13
471;BE_MVS02_PT04_2023_7_13;159
472;BE_MVS02_PT05_2023_7_13;113
473;BE_MVS02_PT06_2023_7_13;39
474;BE_MVS02_PT07_2023_7_13;61
475;BE_MVS02_PT08_2023_7_13;127
476;BE_MVS02_PT09_2023_7_13;197
477;BE_MVS02_PT10_2023_7_13;185
518;BE_MVS03_PT01_2023_7_6;27
519;BE_MVS03_PT02_2023_7_6;454
520;BE_MVS03_PT03_2023_7_6;106
521;BE_MVS03_PT04_2023_7_6;4
522;BE_MVS03_PT05_2023_7_6;0
523;BE_MVS03_PT06_2023_7_6;82
524;BE_MVS03_PT07_2023_7_6;1324
525;BE_MVS03_PT08_2023_7_6;114
526;BE_MVS03_PT09_2023_7_6;0
527;BE_MVS03_PT10_2023_7_6;49
568;BE_MVS01_PT01_2023_8_9;10
569;BE_MVS01_PT02_2023_8_9;0
570;BE_MVS01_PT03_2023_8_9;30
571;BE_MVS01_PT04_2023_8_9;16
572;BE_MVS01_PT05_2023_8_9;471
573;BE_MVS01_PT06_2023_8_9;27
574;BE_MVS01_PT07_2023_8_9;0
575;BE_MVS01_PT08_2023_8_9;0
576;BE_MVS01_PT09_2023_8_9;608
577;BE_MVS01_PT10_2023_8_9;2003
618;BE_MVS03_PT01_2023_8_17;518
619;BE_MVS03_PT02_2023_8_17;43
620;BE_MVS03_PT03_2023_8_17;0
621;BE_MVS03_PT04_2023_8_17;1
622;BE_MVS03_PT05_2023_8_17;10
623;BE_MVS03_PT06_2023_8_17;587
624;BE_MVS03_PT07_2023_8_17;474
625;BE_MVS03_PT08_2023_8_17;132
626;BE_MVS03_PT09_2023_8_17;748
627;BE_MVS03_PT10_2023_8_17;15
668;BE_MVS02_PT01_2023_8_21;0
669;BE_MVS02_PT02_2023_8_21;33
670;BE_MVS02_PT03_2023_8_21;18
671;BE_MVS02_PT04_2023_8_21;0
672;BE_MVS02_PT05_2023_8_21;0
673;BE_MVS02_PT06_2023_8_21;0
674;BE_MVS02_PT07_2023_8_21;0
675;BE_MVS02_PT08_2023_8_21;0
676;BE_MVS02_PT09_2023_8_21;0
677;BE_MVS02_PT10_2023_8_21;0
719;BE_MVS01_PT01_2023_9_5;37
720;BE_MVS01_PT02_2023_9_5;2
721;BE_MVS01_PT03_2023_9_5;0
722;BE_MVS01_PT04_2023_9_5;29
723;BE_MVS01_PT05_2023_9_5;10
724;BE_MVS01_PT06_2023_9_5;0
725;BE_MVS01_PT07_2023_9_5;0
726;BE_MVS01_PT08_2023_9_5;13
727;BE_MVS01_PT09_2023_9_5;0
728;BE_MVS01_PT10_2023_9_5;6750
772;BE_MVS03_PT01_2023_9_8;78
773;BE_MVS03_PT02_2023_9_8;14
774;BE_MVS03_PT03_2023_9_8;2
775;BE_MVS03_PT04_2023_9_8;0
776;BE_MVS03_PT05_2023_9_8;3
777;BE_MVS03_PT06_2023_9_8;333
778;BE_MVS03_PT07_2023_9_8;1000
779;BE_MVS03_PT08_2023_9_8;92
780;BE_MVS03_PT09_2023_9_8;190
781;BE_MVS03_PT10_2023_9_8;26
822;BE_MVS02_PT01_2023_9_11;8
823;BE_MVS02_PT02_2023_9_11;6
824;BE_MVS02_PT03_2023_9_11;0
825;BE_MVS02_PT04_2023_9_11;0
826;BE_MVS02_PT05_2023_9_11;0
827;BE_MVS02_PT06_2023_9_11;0
828;BE_MVS02_PT07_2023_9_11;7
829;BE_MVS02_PT08_2023_9_11;0
830;BE_MVS02_PT09_2023_9_11;0
831;BE_MVS02_PT10_2023_9_11;0
